set	klse
314.98	679.65
314.26	683.92
316.86	694.5
319.09	711.04
332.13	715.06
332.54	719.86
325.21	722.69
332.77	727.73
334.1	736.34
329.08	732.02
323.16	732.81
327.51	729.1
324.72	724.81
318.2	725.58
322.04	719.14
315.25	714.54
315.15	711.33
316	714.66
309.64	711.33
312.32	713.32
310.23	711.52
309.02	713.48
324.24	712.76
321.33	710.94
326.92	711.29
325.2	709.39
316.22	702
306.05	703.07
300.24	706.03
306.35	701.65
301.76	696.42
307	695.26
304.87	688.89
302.76	682.63
299.93	682.33
296.1	675.86
293	672.01
291.3	665.26
293.14	656.5
291.22	673.24
289.42	669.49
290.25	669.27
291.02	663.47
287.1	660.82
287.88	652.03
291.94	647.48
290.11	650.74
285.57	633.17
279.16	594.26
282.02	591.74
278.25	553.34
279.54	555.49
282.37	567.88
291.28	566.47
286.62	575.07
297.33	570.02
298.07	570.01
292.58	575.67
290.54	573.37
296.95	571.69
296.86	573
297.14	579.89
297.21	585.87
300.63	584.5
299.52	611.42
301.09	606.66
306.48	576.99
311.73	572.91
316.13	573.73
310.93	571.02
307.53	566.69
307.47	561.46
300.25	565.15
300.98	565.61
300.64	557.66
298.21	554.36
311.17	556.52
304.53	560.79
312.27	567.58
311.11	563.72
316.88	566.09
309.47	567.62
310.18	570.68
310.13	572.88
312.06	571.26
310.14	567.36
310.46	564.08
308.04	567.15
312.29	575.71
314.4	585.28
314.2	593.11
324.94	598.72
322.24	600.86
323.97	589.42
318.49	584.82
319.59	589.93
318.47	586.11
316.92	592
318.67	587.89
319.81	590.43
320.76	595.24
323.21	590.65
322.55	588.6
322.55	592.99
322.45	586.25
326.81	591.18
326.43	598.14
324.88	617.14
324.47	627.7
323.68	626.23
312.64	618.01
315	609.83
314.31	621.03
309.38	630.1
315.21	637.4
315.16	647.72
316.02	649.49
312.27	648.78
309.58	637.33
308.1	643.77
305.33	642.79
301.09	646.33
298.33	657.51
297.69	659.4
300.53	662.96
303.23	661.65
315.95	659.25
314.06	654.02
316.63	657.65
323.09	565.82
316.77	652.09
315.87	648.06
314.25	657.72
317.77	656.26
317.77	655.15
323.25	655.76
319.7	654.42
319.14	653.77
321.31	657.11
324.9	669.86
332.17	682.87
338.57	694.22
335.49	691.47
338.02	689.05
331.62	687.16
341.65	690.45
339.76	687.73
338.21	688.9
342.56	688
342.32	696.65
331.65	695.28
330.37	690.54
308.17	664.52
288.1	644.53
270.61	609
274.21	607.64
287.13	633.52
279.8	629.74
274.6	607.91
279.49	605.44
276.72	605.95
275.67	602.51
274.76	612.64
277.04	615.34
273.09	613.95
276.49	616.74
276.09	616.72
283.02	611.05
280.88	609
277.28	599.77
286.6	609.66
286.72	604.29
286.42	609.39
284.97	611.32
282.06	618.9
283.42	616.85
287.83	621.58
286.15	620.77
284.72	615.02
283.43	609.09
284.06	616.4
280.62	615.11
280.6	612.41
278.16	605.8
273.6	603.19
275.09	600.07
273.64	596.02
274.22	596.65
272.99	592.85
271.44	592.75
265.22	592.26
268.34	598.57
268.11	599.45
271.75	603.68
270.9	612.72
268.28	632.59
275.54	635.31
276.97	628.14
283.84	625.38
291.21	632.91
293.14	632.91
296.77	639.53
292.56	640.48
296.46	638.35
292.98	641.06
297.87	641.95
302.62	638.02
302.2	643.35
303.81	647.51
305.25	656.38
304.05	661.52
294.86	668.09
297.71	669.22
294.61	662.01
294	664.12
297.92	662.45
296.69	665.05
302.01	669.58
304.44	679.3
301.17	687.72
303.85	691.64
305.19	682.83
312.05	683.48
315.73	693.47
317.69	697.11
318.64	692.21
319.24	700.47
319.3	704.99
322.55	703.04
325.66	698.45
323.39	700.47
319.57	700.62
319.18	697.87
317.52	698.53
314.38	695.94
317.27	690.23
326.92	688.56
333.96	685.95
338.99	693.58
337.49	705.61
339.69	706.32
340.4	710
340.82	710
336.65	718.82
336.15	723.54
343.37	720.33
348.17	715.22
346.77	707.68
353.59	710.92
365.3	714.81
373.02	721.98
375.63	721.13
370.19	729.73
376.31	722.79
361.49	717.39
351.32	710.61
356.65	701.31
372.22	703.92
371.81	708.91
380.65	717.57
391	724.9
384.55	736.69
391.71	737.05
391.67	742.04
390.65	747.63
387.78	761.01
384.74	753.62
378.61	754.51
382.16	751.64
374.73	757.44
375.9	754.27
383.34	754.95
386.33	756.22
389.31	752.63
387.12	746.26
384.8	751.3
377.1	756.51
379.55	755.05
373.95	756.1
375.52	757.39
370.82	755.42
364.11	755.47
361.95	752.41
369.99	761.42
370.86	775.88
372.67	773.63
377.95	774.76
379.63	776.21
390.73	792.14
387.48	787.23
386.51	798.35
386.92	807.3
381.43	808.07
380.76	799.51
376.44	801.37
371.01	790.75
371.42	793.99
369.86	795.35
374.05	794.66
374.65	789.93
382.48	794.47
380.7	794.66
382.09	788.54
380.67	786.03
382.09	785.51
375.83	786.75
376.18	786.38
378.23	787.85
381.02	784.56
385.64	781.72
386.97	772.94
392.85	767.59
392.09	765.86
403.04	761.3
409.11	763.14
407.41	759.33
407.96	741.76
406.77	749
402.54	750.56
411.07	746.93
417.76	752.88
417.33	755.21
423.65	755.23
